Time,LogDose,CFU,LogCFU,Rate,LogRate
1.5,3.447158031,1.492537313,0.173925197,0.001785714,-2.748188027
1.5,3.447158031,0,,0,
1.5,3.447158031,2.985074627,0.474955193,0.003571429,-2.447158031
3,3.447158031,2.985074627,0.474955193,0.003571429,-2.447158031
3,3.447158031,1.492537313,0.173925197,0.001785714,-2.748188027
3,3.447158031,2.985074627,0.474955193,0.003571429,-2.447158031
4.5,3.447158031,0,,0,
4.5,3.447158031,7.462686567,0.872895202,0.008928571,-2.049218023
4.5,3.447158031,2.985074627,0.474955193,0.003571429,-2.447158031
6,3.447158031,5.970149254,0.775985189,0.007142857,-2.146128036
6,3.447158031,4.47761194,0.651046452,0.005357143,-2.271066772
6,3.447158031,0,,0,
7.5,3.447158031,2.985074627,0.474955193,0.003571429,-2.447158031
7.5,3.447158031,5.970149254,0.775985189,0.007142857,-2.146128036
7.5,3.447158031,10.44776119,1.019023237,0.0125,-1.903089987
9,3.447158031,4.47761194,0.651046452,0.005357143,-2.271066772
9,3.447158031,0,,0,
9,3.447158031,2.985074627,0.474955193,0.003571429,-2.447158031
10.5,3.447158031,1.492537313,0.173925197,0.001785714,-2.748188027
10.5,3.447158031,0,,0,
10.5,3.447158031,1.492537313,0.173925197,0.001785714,-2.748188027
12,3.447158031,5.970149254,0.775985189,0.007142857,-2.146128036
12,3.447158031,7.462686567,0.872895202,0.008928571,-2.049218023
12,3.447158031,2.985074627,0.474955193,0.003571429,-2.447158031
